onetsoc_code	title	title_nb	description	description_nb	changed
"11-3031.03"	"Investment Fund Managers"	"Investeringsfondleder"	"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors."		"2022-04-25"
"11-3051.00"	"Industrial Production Managers"	"Leder for industriell produksjon"	"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications."	"Planlegger, styrer eller samordner driftsaktivitet og ressursene som trengs for å produsere varer i overenstemmelse med kriterier for kostnad, kvalitet og kvantitet."	"2017-05-26"
"11-3051.01"	"Quality Control Systems Managers"	"Leder for kvalitetssikringsystemer"	"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts."	"Planlegger, styrer eller samordner kvalitetssikringsprogrammer. Utformer retningslinjer for kvalitetssikringog kontrollerer kvaliteten på arbeid og produksjon."	"2017-05-26"
"11-3051.02"	"Geothermal Production Managers"	"Sjef for geotermisk energiproduksjon"	"Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations."	"Administrerer driften ved jordvarmeanlegg. Vedlikeholder og overvåker utstyr ved jordvarmekraftverk for effektiv og trygg verksdrift."	"2017-05-26"
"11-3051.03"	"Biofuels Production Managers"	"Sjef for biodrivstoffproduksjon"	"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures."	"Administrerer produksjon av biodrivstoff og drift av biokraftverk. Samler og behandler informasjon om produksjon og ytelse ved verket, diagnostiserer problemer og utformer utbedringstiltak."	"2017-05-26"
"11-3051.04"	"Biomass Power Plant Managers"	"Sjef for biomassekraftverk"	"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff."	"Administrerer driften ved biomassekraftverk. Styrer arbeidet på verket, deriblant ledelse av drift og vedlikehold."	"2017-05-26"
"11-3051.06"	"Hydroelectric Production Managers"	"Produksjonsleder vannkraft"	"Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations."	"Administrerer driften ved vannkraftverk. Vedlikeholder og overvåker utstyr ved vannkraftverk for effektiv og trygg verksdrift."	"2017-05-26"
"11-3061.00"	"Purchasing Managers"	"Innkjøpssjef"	"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers."	"Planlegger, styrer eller samordner aktivitet blant innkjøpere, innkjøpskonsulenter og andre ansatte som har å gjøre med innkjøp av materialer, varer og tjenester. Inkluderer ledere for masseinnkjøp eller detaljhandelinnkjøp og innkjøpsledere."	"2017-05-26"
"11-3071.00"	"Transportation, Storage, and Distribution Managers"	"Transport-, lager- og distribusjonsleder"	"Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers."	"Planlegger, styrer eller samordner transport-, lager- eller distribusjonsvirksomhet i overenstemmelse med virksomhetens retningslinjer og relevante lover eller forskrifter. Inkluderer logistikkoperatører."	"2017-05-26"
"11-3071.04"	"Supply Chain Managers"	"Logistikkleder"	"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory."		"2022-04-25"
"11-3111.00"	"Compensation and Benefits Managers"	"Lønningssjef"	"Plan, direct, or coordinate compensation and benefits activities of an organization."	"Planlegger, styrer eller samordner lønnstjenester i en virksomhet."	"2017-05-26"
"11-3121.00"	"Human Resources Managers"	"Personalsjef"	"Plan, direct, or coordinate human resources activities and staff of an organization."	"Planlegger, styrer eller samordner drift og ansatte i personalavdelingen i en virksomhet."	"2017-05-26"
"11-3131.00"	"Training and Development Managers"	"Opplærings- og utviklingssjef"	"Plan, direct, or coordinate the training and development activities and staff of an organization."	"Planlegger, styrer eller samordner drift og ansatte innen opplæring og utvikling i en virksomhet. "	"2017-05-26"
"11-9013.00"	"Farmers, Ranchers, and Other Agricultural Managers"	"Gårdbrukere, rancheiere og andre landbruksforvaltere"	"Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities."	"Planlegger, styrer eller samordner forvaltning eller drift av gårdsbruk, drivhus, havbruksdrift, planteskoler, tømmerskog eller andre jordbruksvirksomheter. Kan ansette, lære opp og lede gårdsarbeidere eller inngå kontrakter om tjenester for å gjennomføre den daglige driften på stedet. Kan ta del i eller lede planting, kultivering, høsting og oppgaver innen økonomi og markedsføring."	"2017-05-26"
"11-9021.00"	"Construction Managers"	"Byggeleder"	"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing."	"Planlegger, styrer eller samordner – til vanlig ved hjelp av underordnede arbeidsledere – virksomhet som gjelder bygging og vedlikehold av bygninger, anlegg og systemer. Tar del i konseptutvikling av byggeprosjekter og fører oppsyn med organisering, produksjonsstyring, budsjett og gjennomføring. Inkluderer ledere i spesialiserte fagfelt, som tømring eller rørlegging."	"2017-05-26"
"11-9031.00"	"Education and Childcare Administrators, Preschool and Daycare"	"Skoleledere, førskole- og barnevernsentre/-programmer"	"Plan, direct, or coordinate the academic and nonacademic activities of preschool and childcare centers or programs."	"Planlegger, styrer eller samordner faglig og ikke-faglig virksomhet ved barnehager og barnevernsentre eller -programmer."	"2017-05-26"
"11-9032.00"	"Education Administrators, Kindergarten through Secondary"	"Skoleledere, grunnskole og videregående skole"	"Plan, direct, or coordinate the academic, administrative, or auxiliary activities of public or private elementary or secondary level schools."	"Planlegger, styrer eller samordner akademisk, administrativ og rådgivende arbeid ved offentlige eller private grunnskoler eller videregående skoler."	"2017-05-26"
"11-9033.00"	"Education Administrators, Postsecondary"	"Utdanningsleder, høyere utdanning"	"Plan, direct, or coordinate research, instructional, student administration and services, and other educational activities at postsecondary institutions, including universities, colleges, and junior and community colleges."	"Planlegger, styrer eller samordner forskning, undervisning, studentadministrasjon og -tjenester og annen utdanningsvirksomhet ved høyere utdanningsinstitusjoner, herunder universiteter og høyskoler."	"2017-05-26"
"11-9039.00"	"Education Administrators, All Other"	"Utdanningsleder, annet"	"All education administrators not listed separately."	"Alle utdanningsledere som ikke er ført opp separat."	"2017-05-26"
"11-9041.00"	"Architectural and Engineering Managers"	"Arkitektleder og ingeniørleder"	"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields."	"Planlegger, styrer eller samordner virksomhet på felt som arkitektur og teknikk, eller forskning og utvikling på disse feltene."	"2017-05-26"
"11-9041.01"	"Biofuels/Biodiesel Technology and Product Development Managers"	"Leder for teknologi- og produktutvikling innen biodrivstoff/biodiesel"	"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential."	"Definerer, planlegger eller iverksetter forskningsprogrammer for biodrivstoff/biodiesel som evaluerer alternative råmaterialer eller foredlingsteknologier med kortsiktig kommersielt potensial."	"2017-05-26"
"11-9051.00"	"Food Service Managers"	"Cateringsjef"	"Plan, direct, or coordinate activities of an organization or department that serves food and beverages."	"Planlegger, styrer eller samordner virksomhet i et selskap eller en avdeling som leverer mat og drikke."	"2017-05-26"
"11-9071.00"	"Gambling Managers"	"Spillsjef"	"Plan, direct, or coordinate gaming operations in a casino. May formulate house rules."	"Planlegger, styrer eller samordner spillvirksomhet på et kasino. Kan utforme husregler."	"2017-05-26"
"11-9072.00"	"Entertainment and Recreation Managers, Except Gambling"	"Ledere i underholdningsbransjen"	"Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks."		"2022-04-25"
"11-9081.00"	"Lodging Managers"	"Innkvarteringssjef"	"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations."	"Planlegger, styrer eller samordner virksomhet i et selskap eller en avdeling som tilbyr losji eller annen innkvartering."	"2017-05-26"
"11-9111.00"	"Medical and Health Services Managers"	"Medisinsk leder og helseleder"	"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations."	"Planlegger, styrer eller samordner medisinske tjenester og helsetjenester ved sykehus, klinikker, helseforebyggende institusjoner, offentlige helsestasjoner eller liknende virksomheter."	"2017-05-26"
"11-9121.00"	"Natural Sciences Managers"	"Realfagsleder"	"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields."	"Planlegger, styrer eller samordner aktivitet på fagområder som livsvitenskap, naturvitenskap, matematikk, statistikk og forskning og utvikling på disse områdene."	"2017-05-26"
"11-9121.01"	"Clinical Research Coordinators"	"Klinisk forskningskoordinator"	"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data."	"Planlegger, styrer eller samordner kliniske forskningsprosjekter. Leder aktiviteten til ansatte som driver med kliniske forskningsprosjekter, for å se til at disse skjer i overenstemmelse med formelle krav og generelle kliniske formål. Kan også evaluere og analysere kliniske data."	"2017-05-26"
"11-9121.02"	"Water Resource Specialists"	"Vannressursforvalter"	"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues."	"Utforme eller implementere programmer og strategier i tilknytning til vannressurssaker som f.eks. forsyning, kvalitet og spørsmål om overenstemmelse med regelverk."	"2017-05-26"
"11-9131.00"	"Postmasters and Mail Superintendents"	"Postmester og postsjef"	"Plan, direct, or coordinate operational, administrative, management, and supportive services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office."	"Planlegger, styrer eller samordner driftsmessige og administrative tjenester, ledelse og hjelpetjenester ved postkontor; eller samordner arbeidet til ansatte som jobber med posttjenester eller relatert arbeid ved det tildelte postkontoret."	"2017-05-26"
"11-9141.00"	"Property, Real Estate, and Community Association Managers"	"Eiendomsforvalter, byggforvalter og sameieleder"	"Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way)."	"Planlegger, styrer eller samordner salg, kjøp, leie og ledelse av kommersielle eller industrielle eiendommer eller boligeiendommer. Inkluderer ledere for sameie- eller selveierforeninger, leide eller leasede boenheter, bygninger eller tomter (inkludert mellomliggende veiområder)."	"2017-05-26"
"11-9151.00"	"Social and Community Service Managers"	"Sosialkonsulent og frivillighetsleder"	"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers."	"Planlegger, styrer eller samordner arbeidet i sosialtjenester eller oppsøkende frivillig virksomhet. Fører oppsyn med programmet eller organisasjonens budsjett og retningslinjer for brukerinvolvering, programbetingelser og resultater. Arbeidet kan innebære veiledning av sosialarbeidere, rådgivere eller tilsynsverger."	"2017-05-26"
"11-9161.00"	"Emergency Management Directors"	"Krise- og beredskapsleder"	"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations."	"Planlegger og styrer arbeid med katastroferespons og krisehåndtering, gir trening i katastrofeberedskap og forbereder kriseplaner og prosedyrer for naturkatastrofer (f.eks. orkan, flom, jordskjelv), krig, teknologiske katastrofer (f.eks. kjernekraftulykker eller utslipp av farlige stoffer) eller gisselsituasjoner."	"2017-05-26"
"11-9171.00"	"Funeral Home Managers"	"Gravferdskonsulent"	"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes."		"2022-04-25"
"11-9179.00"	"Personal Service Managers, All Other"	"Personlig servicemedarbeider (andre)"	"All personal service managers not listed separately."		"2022-04-25"
"11-9179.01"	"Fitness and Wellness Coordinators"	"Treningssenter-medarbeider"	"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors."		"2022-04-25"
"11-9179.02"	"Spa Managers"	"Spa-medarbeider"	"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities."		"2022-04-25"
"11-9199.00"	"Managers, All Other"	"Ledere, alle andre"	"All managers not listed separately."	"Alle ledertyper som ikke er ført opp separat."	"2017-05-26"
"11-9199.01"	"Regulatory Affairs Managers"	"Direktør, myndighetskontakt"	"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures."	"Planlegger, styrer eller samordner produksjonen i en virksomhet for å sikre at den er i overenstemmelse med lover og standard framgangsmåter."	"2017-05-26"
"11-9199.02"	"Compliance Managers"	"Compliance officer (reguleringskonsulent)"	"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards."	"Planlegger, styrer eller samordner aktiviteten i en virksomhet for å sikre at den er i overenstemmelse med etiske eller juridiske retningslinjer."	"2017-05-26"
"11-9199.08"	"Loss Prevention Managers"	"Tyverisikringsansvarlig (Loss Prevention-manager)"	"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures."	"Planlegger og styrer retningslinjer, prosedyrer eller systemer for å hindre tyveri. Kartlegge risikoeksponering eller potensielle erstatningsansvar og utforme tiltak for risikokontroll."	"2017-05-26"
"11-9199.09"	"Wind Energy Operations Managers"	"Virksomhetsleder vindkraft"	"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning."	"Administrerer drift av vindfelt, herunder personale, vedlikeholdsdrift, økonomisk aktivitet og planlegging."	"2017-05-26"
"11-9199.10"	"Wind Energy Development Managers"	"Prosjektleder vindkraft"	"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects."	"Leder eller administrerer utvikling og evaluering av potensielle muligheter for vindkraftvirksomhet, inkludert miljøundersøkelser, konsesjoner og forslag. Kan også administrere sammensetning av prosjekter."	"2017-05-26"
"11-9199.11"	"Brownfield Redevelopment Specialists and Site Managers"	"Spesialist på utvikling av tidligere industriområder og feltleder"	"Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites."	"Planlegger og leder opprydning og sanering av forurenset grunn for nybruk. Omfatter ikke områder som er så forurensede at de omfattes av særordninger."	"2017-05-26"
"13-1011.00"	"Agents and Business Managers of Artists, Performers, and Athletes"	"Agenter og managere for artister, skuespillere og idrettsutøvere"	"Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients."	"Representerer og promoterer artister, skuespillere og idrettsutøvere i forhandlinger med nåværende eller framtidige arbeidsgivere. Kan ta seg av forhandling om kontrakter og andre jobbrelaterte spørsmål for klienter."	"2017-05-26"
"13-1021.00"	"Buyers and Purchasing Agents, Farm Products"	"Innkjøper og innkjøpsagent, gårdsprodukter"	"Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers."	"Kjøper inn gårdsprodukter til enten videre foredling eller videresalg. Inkluderer tømmerleverandører, kornhandlere og aksjehandlere, kornkjøpere og tobakkskjøpere."	"2017-05-26"
"13-1022.00"	"Wholesale and Retail Buyers, Except Farm Products"	"Innkjøpere en gros og en detail, unntatt gårdsprodukter"	"Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. Includes assistant wholesale and retail buyers of nonfarm products."	"Kjøper inn varer eller artikler, utenom gårdsprodukter, for videresalg til forbrukere på parti- eller detaljnivå, inkludert både varige goder og forbruksvarer. Analyserer tidligere kjøpetrender, salgshistorikk, priser og produktkvalitet for å beregne verdi og avkastning. Velger ut, bestiller og godkjenner betaling for varer i tråd med kontraktsmessige avtaler. Kan lede møter med selgere og introdusere nye produkter. Inkluderer assistenter til engros- og detaljhandlere for annet enn gårdsprodukter."	"2017-05-26"
"13-1023.00"	"Purchasing Agents, Except Wholesale, Retail, and Farm Products"	"Innkjøpsagenter, utenom engroshandel, detaljhandel og gårdsprodukter"	"Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semi-finished materials for manufacturing."	"Kjøper inn maskinelt utstyr, verktøy, deler, forsyninger eller tjenester som trengs til driften av en virksomhet. Kjøper inn rått eller forbearbeidet materialet til produksjon."	"2017-05-26"
"13-1031.00"	"Claims Adjusters, Examiners, and Investigators"	"Skadetakstmann, skadekonsulent og skadeinspektør"	"Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims."	"Ser over oppgjorte erstatningskrav for å avgjøre om betalinger og oppgjør er gjennomført i tråd med selskapets praksiser og prosedyrer. Søker juridisk rådgivning om krav som krever rettssak. Kan også gjøre opp erstatningskrav."	"2017-05-26"
"13-1032.00"	"Insurance Appraisers, Auto Damage"	"Takstmann, bilskade"	"Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs."	"Vurderer skade på bil eller annet kjøretøy for å beregne reparasjonskostnader i forsikringsoppgjør. Gjør klar forsikringsskjemaer slik at reparasjonskostnader eller kostnadsestimater og anbefalinger framkommer. Kan forhandle med bilverksteder om reparasjonskostnader."	"2017-05-26"
"13-1041.00"	"Compliance Officers"	"Compliance officer (reguleringskonsulent)"	"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere."	"Undersøker, vurderer og utreder relevans for og overenstemmelse med lover og forskrifter som regulerer kontraktsoppfølging av lisenser og løyver, og foretar inspeksjoner av overenstemmelse med og iverksettelse av andre lovkrav og annen analyse som ikke faller inn under andre områder."	"2017-05-26"
"13-1041.01"	"Environmental Compliance Inspectors"	"Compliance officer, miljø"	"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances."	"Inspiserer og undersøker forurensningskilder for å beskytte folk og miljø og sørge for at føderale, delstatlige og lokale regler og forordninger blir fulgt."	"2017-05-26"
"13-1041.03"	"Equal Opportunity Representatives and Officers"	"Likestillingsansvarlig og likestillingskonsulent"	"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability."	"Overvåker og vurderer om praksisen er i tråd med lover, retningslinjer og regler for likestilling for å sikre at ansettelsespraksis og kontraktsinngåelser gir folk like muligheter uavhengig av etnisitet, religion, hudfarge, nasjonal tilhørighet, kjønn, alder eller funksjonsgrad."	"2017-05-26"
"13-1041.04"	"Government Property Inspectors and Investigators"	"Inspektør og kontrollør av offentlig eiendom"	"Investigate or inspect government property to ensure compliance with contract agreements and government regulations."	"Undersøker og inspiserer offentlig eiendom for å se til at kontraktskriterier og offentlige reguleringer er fulgt."	"2017-05-26"
"13-1041.06"	"Coroners"	"Obdusent"	"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths."	"Leder aktiviteter som obduksjoner, patologiske og toksikologiske analyser og rettslige undersøkelser i forbindelse med etterforskning av dødsfall innen et jurisdiksjonsområde for å fastslå dødsårsak eller å fastsette ansvaret for ulykkesdødsfall, voldelige dødsfall eller uoppklarte dødsfall."	"2017-05-26"
"13-1041.07"	"Regulatory Affairs Specialists"	"Myndighetskontakt"	"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies."	"Samordner og dokumenterer interne reguleringsprosesser, f.eks. internrevisjoner, inspeksjoner, fornyelse av lisenser og registreringer. Kan sammenfatte og forberede materiale som skal legges fram for kontrollmyndigheter."	"2017-05-26"
"13-1041.08"	"Customs Brokers"	"Tollmegler"	"Prepare customs documentation and ensure that shipments meet all applicable laws to facilitate the import and export of goods. Determine and track duties and taxes payable and process payments on behalf of client. Sign documents under a power of attorney. Represent clients in meetings with customs officials and apply for duty refunds and tariff reclassifications. Coordinate transportation and storage of imported goods."		"2022-04-25"
"13-1051.00"	"Cost Estimators"	"Kostnadsestimator"	"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured."	"Klargjør kostnadsestimat for vareproduksjon, byggeprosjekter eller tjenester som skal hjelpe administrasjonen til budgivning eller å fastsette priser på varer eller tjenester. Kan spesialisere seg innen en bestemt tjeneste eller en type vareproduksjon."	"2017-05-26"
"13-1071.00"	"Human Resources Specialists"	"HR-spesialist"	"Perform activities in the human resource area. Includes employment specialists who screen, recruit, interview, and place workers."	"Arbeider med personalsaker. Inkluderer ansettelsesspesialister som screener, rekrutterer, intervjuer og plasserer arbeidstakere."	"2017-05-26"
"13-1074.00"	"Farm Labor Contractors"	"Formidler av gårdsarbeid"	"Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers."	"Rekrutterer og hyrer inn sesongarbeidere eller midlertidig ansatte til jordbruksarbeid. Kan transportere, huse og ordne mat til arbeidstakere."	"2017-05-26"
"13-1075.00"	"Labor Relations Specialists"	"Spesialist på arbeidslivsrelasjoner"	"Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints."	"Løser konflikter mellom arbeidstakere og ledere, forhandler om kollektive forhandlingsavtaler eller samordner klageprosedyrer for å behandle klager fra ansatte."	"2017-05-26"
"13-1081.00"	"Logisticians"	"Logistiker"	"Analyze and coordinate the logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources."	"Analyserer og koordinerer logistikkarbeidet i et firma eller en virksomhet. Er ansvarlig for hele livssyklusen til en vare, inkludert anskaffelse, distribusjon, intern flytting, leveranse og endelig avhending av ressurser."	"2017-05-26"
