"element_id"	"iwa_id"	"dwa_id"	"dwa_title"	"dwa_title_nb"	"changed"
"4.A.1.a.1"	"4.A.1.a.1.I02"	"4.A.1.a.1.I02.D07"	"Read documents to gather technical information."	"Leser dokumenter for å samle teknisk informasjon"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I02"	"4.A.1.a.1.I02.D08"	"Review technical documents to plan work."	"Gjennomgår tekniske dokumenter for å planlegge arbeid"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I02"	"4.A.1.a.1.I02.D09"	"Review blueprints or specifications to determine work requirements."	"Gjennomgår plantegninger eller spesifikasjoner for å fastsette arbeidskrav"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I02"	"4.A.1.a.1.I02.D10"	"Review work orders or schedules to determine operations or procedures."	"Gjennomgår arbeidsinstrukser eller -planer for å fastsette drift eller rutiner"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I02"	"4.A.1.a.1.I02.D11"	"Review blueprints or other instructions to determine operational methods or sequences."	"Gjennomgår plantegninger eller andre instrukser for å fastsette driftsmetoder eller -rekkefølge"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I02"	"4.A.1.a.1.I02.D12"	"Evaluate reports or designs to determine work needs."	"Evaluerer rapporter eller design for å fastslå arbeidsbehov"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I02"	"4.A.1.a.1.I02.D13"	"Read work orders or descriptions of problems to determine repairs or modifications needed."	"Leser arbeidsinstrukser eller problembeskrivelser for å fastsette behov for reparasjoner eller endringer"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I02"	"4.A.1.a.1.I02.D14"	"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities."	"Fortolker plantegninger, spesifikasjoner eller diagrammer for å instruere installasjonsarbeid, utvikling og drift"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I02"	"4.A.1.a.1.I02.D15"	"Review details of technical drawings or specifications."	"Gjennomgår detaljer i tekniske tegninger eller spesifikasjoner"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I02"	"4.A.1.a.1.I02.D16"	"Read work orders to determine material or setup requirements."	"Leser arbeidsinstrukser for å fastsette material- eller systemkrav"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I03"	"4.A.1.a.1.I03.D01"	"Collect evidence for legal proceedings."	"Samler bevis til søksmål"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I03"	"4.A.1.a.1.I03.D02"	"Examine crime scenes to obtain evidence."	"Gransker åsteder for å finne bevismateriale"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I03"	"4.A.1.a.1.I03.D03"	"Investigate crimes committed within organizations."	"Etterforsker kriminelle handlinger begått innad i en virksomhet"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I03"	"4.A.1.a.1.I03.D04"	"Investigate legal issues."	"Undersøker juridiske spørsmål"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I03"	"4.A.1.a.1.I03.D05"	"Examine records or other types of data to investigate criminal activities."	"Undersøker journaler eller andre typer informasjon for å etterforske kriminelle handlinger"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I03"	"4.A.1.a.1.I03.D06"	"Conduct hearings to investigate legal issues."	"Gjennomfører forhør for å etterforskere juridiske forhold"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I03"	"4.A.1.a.1.I03.D07"	"Investigate illegal or suspicious activities."	"Undersøker kriminell eller mistenkelig aktivitet"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I04"	"4.A.1.a.1.I04.D01"	"Obtain property information."	"Innhenter informasjon om eiendommer"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I04"	"4.A.1.a.1.I04.D02"	"Use databases to locate investigation details or other information."	"Bruker databaser for å lokalisere etterforskningsdetaljer eller annen informasjon"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I04"	"4.A.1.a.1.I04.D03"	"Search information sources to find specific data."	"Søker i informasjonskilder for å finne spesifikke opplysninger"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I04"	"4.A.1.a.1.I04.D04"	"Gather financial records."	"Innhenter økonomiske registre"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I04"	"4.A.1.a.1.I04.D05"	"Retrieve information from electronic sources."	"Henter ut informasjon fra elektroniske kilder"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I04"	"4.A.1.a.1.I04.D06"	"Gather information in order to provide services to clients."	"Samler informasjon for å kunne yte service til kunder"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I04"	"4.A.1.a.1.I04.D07"	"Search files, databases or reference materials to obtain needed information."	"Søker i filer, databaser eller referansemateriale for å innhente nødvendig informasjon"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I04"	"4.A.1.a.1.I04.D08"	"Collect archival data."	"Samler arkivdata"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I05"	"4.A.1.a.1.I05.D01"	"Evaluate information related to legal matters in public or personal records."	"Vurderer informasjon i forbindelse med juridiske saker i offentlige eller private kilder"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I05"	"4.A.1.a.1.I05.D02"	"Research relevant legal materials to aid decision making."	"Undersøker relevant juridisk materiale for å gjøre det lettere å treffe avgjørelser"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I06"	"4.A.1.a.1.I06.D01"	"Gather organizational performance information."	"Innhenter informasjon om driftsytelse"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I06"	"4.A.1.a.1.I06.D02"	"Gather information about work conditions or locations."	"Samler informasjon om arbeidsforhold eller -plasser"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I06"	"4.A.1.a.1.I06.D03"	"Gather physical survey data."	"Innhenter fysiske data fra undersøkelser"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I06"	"4.A.1.a.1.I06.D04"	"Collect data about project sites."	"Innhenter opplysninger om prosjektsteder"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I07"	"4.A.1.a.1.I07.D01"	"Obtain information about goods or services."	"Innhenter informasjon om varer eller tjenester"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I08"	"4.A.1.a.1.I08.D01"	"Research hydrologic features or processes."	"Forsker på hydrologiske trekk eller prosesser"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I08"	"4.A.1.a.1.I08.D02"	"Research geological features or processes."	"Forsker på geologiske trekk eller prosesser"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I08"	"4.A.1.a.1.I08.D03"	"Conduct climatological research."	"Gjør klimaforskning"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I09"	"4.A.1.a.1.I09.D01"	"Conduct surveys in organizations."	"Gjennomfører undersøkelser i organisasjoner"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I09"	"4.A.1.a.1.I09.D02"	"Research industrial processes or operations."	"Forsker på industriprosesser eller -virksomhet"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I09"	"4.A.1.a.1.I09.D03"	"Conduct scientific research of organizational behavior or processes."	"Driver vitenskapelige forskning på adferd eller prosesser i organisasjoner"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I10"	"4.A.1.a.1.I10.D01"	"Research impacts of environmental conservation initiatives."	"Forsker på påvirkningen fra miljøverntiltak"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I10"	"4.A.1.a.1.I10.D02"	"Research issues related to the environment or sustainable business practices."	"Forsker på spørsmål knyttet til miljøet eller bærekraftige forretningspraksiser"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I10"	"4.A.1.a.1.I10.D03"	"Investigate the environmental impact of projects."	"Undersøker miljøpåvirkningen av prosjekter"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I10"	"4.A.1.a.1.I10.D04"	"Monitor environmental impacts of production or development activities."	"Fører tilsyn med hvordan produksjons- eller utviklingsaktivitet påvirker miljøet"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I10"	"4.A.1.a.1.I10.D05"	"Research environmental impact of industrial or development activities."	"Forsker på miljøpåvirkningen fra industri- eller utviklingsarbeider"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I10"	"4.A.1.a.1.I10.D06"	"Identify environmental concerns."	"Avdekker miljøbekymringer"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I10"	"4.A.1.a.1.I10.D07"	"Evaluate environmental impact of operational or development activities."	"Evaluerer miljøpåvirkningen av drift eller utviklingsarbeider"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I11"	"4.A.1.a.1.I11.D01"	"Gather information for news stories."	"Samler informasjon til nyhetssaker"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I12"	"4.A.1.a.1.I12.D01"	"Gather medical information from patient histories."	"Innhenter medisinsk informasjon fra pasientanamneser"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I12"	"4.A.1.a.1.I12.D02"	"Collect medical information from patients, family members, or other medical professionals."	"Innhenter medisinsk informasjon fra pasienter, familiemedlemmer eller andre medisinske fagfolk"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I12"	"4.A.1.a.1.I12.D03"	"Collect information from people through observation, interviews, or surveys."	"Innhenter informasjon fra folk gjennom observasjon, intervjuer eller undersøkelser"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I12"	"4.A.1.a.1.I12.D04"	"Collect information about clients."	"Innhenter informasjon om brukere"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I13"	"4.A.1.a.1.I13.D01"	"Research livestock management methods."	"Forsker på metoder for husdyrforvaltning"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I13"	"4.A.1.a.1.I13.D02"	"Research crop management methods."	"Forsker på metoder for avlingsforvaltning"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I13"	"4.A.1.a.1.I13.D03"	"Research sustainable agricultural processes or practices."	"Forsker på bærekraftige landbruksprosesser eller -praksiser"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I14"	"4.A.1.a.1.I14.D01"	"Conduct market research."	"Utfører markedsundersøkelser"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I14"	"4.A.1.a.1.I14.D02"	"Gather customer or product information to determine customer needs."	"Innhenter informasjon om kunder eller produkter for å fastslå kunders behov"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I14"	"4.A.1.a.1.I14.D03"	"Obtain personal or financial information about customers or applicants."	"Innhenter personopplysninger eller økonomiske opplysninger om kunder eller søkere"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I14"	"4.A.1.a.1.I14.D04"	"Conduct opinion surveys or needs assessments."	"Gjennomfører spørreundersøkelser eller behovsundersøkelser"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I14"	"4.A.1.a.1.I14.D05"	"Collect data about customer needs."	"Innhenter opplysninger om kundebehov"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I15"	"4.A.1.a.1.I15.D01"	"Observe individuals' activities to gather information or compile evidence."	"Observerer individers aktivitet for å innhente informasjon eller samle bevis"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I15"	"4.A.1.a.1.I15.D02"	"Investigate personal characteristics or activities of individuals."	"Undersøker personlige egenskaper eller aktiviteter hos enkeltpersoner"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I16"	"4.A.1.a.1.I16.D01"	"Research genetic characteristics or expression."	"Forsker på genetiske egenskaper eller uttrykk"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I16"	"4.A.1.a.1.I16.D02"	"Research diseases or parasites."	"Forsker på sykdommer eller parasitter"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I16"	"4.A.1.a.1.I16.D03"	"Conduct research of processes in natural or industrial ecosystems."	"Driver forskning på prosesser i naturlige eller industrielle økosystemer"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I16"	"4.A.1.a.1.I16.D04"	"Research microbiological or chemical processes or structures."	"Forsker på mikrobiologiske eller kjemiske prosesser eller strukturer"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I16"	"4.A.1.a.1.I16.D05"	"Classify organisms based on their characteristics or behavior."	"Klassifiserer organismer basert på egenskaper eller atferd"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I16"	"4.A.1.a.1.I16.D06"	"Examine characteristics or behavior of living organisms."	"Undersøker kjennetrekk eller atferd hos levende organismer"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I17"	"4.A.1.a.1.I17.D01"	"Obtain documentation to authorize activities."	"Innhenter dokumentasjon for å godkjenne aktiviteter"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I17"	"4.A.1.a.1.I17.D02"	"Obtain copyrights or other legal permissions."	"Får opphavsrettigheter eller innhenter andre juridiske tillatelser"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I17"	"4.A.1.a.1.I17.D03"	"Obtain written authorization to perform activities."	"Innhenter skriftlig godkjenning til å utføre aktiviteter"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I18"	"4.A.1.a.1.I18.D01"	"Conduct anthropological or archaeological research."	"Gjør antropologisk eller arkeologisk forskning"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I18"	"4.A.1.a.1.I18.D02"	"Conduct historical research."	"Gjør historisk forskning"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I18"	"4.A.1.a.1.I18.D03"	"Conduct research on social issues."	"Driver forskning på sosiale spørsmål"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I18"	"4.A.1.a.1.I18.D04"	"Research social issues."	"Forsker på sosiale spørsmål"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I19"	"4.A.1.a.1.I19.D01"	"Conduct research to increase knowledge about medical issues."	"Driver forskning for å få økt kunnskap i medisinske spørsmål"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I19"	"4.A.1.a.1.I19.D02"	"Collect information about community health needs."	"Innhenter informasjon om helsebehov i samfunnet"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I20"	"4.A.1.a.1.I20.D01"	"Research engineering aspects of biological or chemical processes."	"Forsker på tekniske aspekter av biologiske eller kjemiske prosesser"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I20"	"4.A.1.a.1.I20.D02"	"Research engineering applications of emerging technologies."	"Forsker på tekniske anvendelser av ny teknologi"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I20"	"4.A.1.a.1.I20.D03"	"Research design or application of green technologies."	"Forsker på utforming eller anvendelse av fornybare teknologier"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I20"	"4.A.1.a.1.I20.D04"	"Conduct research to gain information about products or processes."	"Driver forskning for å skaffe informasjon om produkter eller prosesser"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I20"	"4.A.1.a.1.I20.D05"	"Research advanced engineering designs or applications."	"Undersøker avanserte tekniske tegninger eller anvendelser"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I20"	"4.A.1.a.1.I20.D06"	"Research energy production, use, or conservation."	"Forsker på kraftproduksjon, energiforbruk eller energiøkonomisering"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I20"	"4.A.1.a.1.I20.D07"	"Research human performance or health factors related to engineering or design activities."	"Forsker på faktorer i menneskelig innsats eller helse relatert til ingeniør- eller designarbeid"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I20"	"4.A.1.a.1.I20.D08"	"Research new technologies."	"Forsker på ny teknologi"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I20"	"4.A.1.a.1.I20.D09"	"Research product safety."	"Forsker på produktsikkerhet"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I20"	"4.A.1.a.1.I20.D10"	"Research methods to improve food products."	"Forsker på metoder for å forbedre matvarer"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I21"	"4.A.1.a.1.I21.D01"	"Investigate accidents to determine causes."	"Etterforsker ulykker for å finne årsaker"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I21"	"4.A.1.a.1.I21.D02"	"Examine debris to obtain information about causes of fires."	"Undersøker brannrester for å skaffe informasjon om årsaker"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I21"	"4.A.1.a.1.I21.D03"	"Investigate transportation incidents, violations, or complaints."	"Undersøker hendelser, overtredelser eller klager i forbindelse med transport"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I21"	"4.A.1.a.1.I21.D04"	"Investigate industrial or transportation accidents."	"Etterforsker ulykker innen industri eller transport"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I22"	"4.A.1.a.1.I22.D01"	"Investigate system, equipment, or product failures."	"Undersøker feil på systemer, utstyr eller produkter"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I22"	"4.A.1.a.1.I22.D02"	"Investigate work related complaints to determine corrective actions."	"Undersøker arbeidsrelaterte klager for å bestemme korrigerende tiltak"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I22"	"4.A.1.a.1.I22.D03"	"Investigate safety of work environment."	"Undersøker sikkerheten i et arbeidsmiljø"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I23"	"4.A.1.a.1.I23.D01"	"Interview employees, customers, or others to collect information."	"Intervjuer ansatte, kunder eller andre for å innhente informasjon"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I23"	"4.A.1.a.1.I23.D02"	"Interview others for news or entertainment purposes."	"Intervjuer andre til bruk i nyheter eller underholdning"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I23"	"4.A.1.a.1.I23.D03"	"Interview clients to gather financial information."	"Intervjuer kunder for å innhente økonomiske opplysninger"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I23"	"4.A.1.a.1.I23.D04"	"Interview people to obtain information about actions or status of individuals."	"Intervjuer personer for å innhente informasjon om enkeltpersoners handlinger eller status"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I23"	"4.A.1.a.1.I23.D05"	"Interview people to gather information about criminal activities."	"Intervjuer personer for å innhente informasjon om kriminelle handlinger"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I23"	"4.A.1.a.1.I23.D06"	"Interview patients to gather medical information."	"Intervjuer pasienter for å innhente medisinske opplysninger"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I23"	"4.A.1.a.1.I23.D07"	"Interview claimants to get information related to legal proceedings."	"Intervjuer skadeanmelder for å innhente informasjon i forbindelse med søksmål"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I23"	"4.A.1.a.1.I23.D08"	"Interview clients to gather information about their backgrounds, needs, or progress."	"Intervjuer kunder for å innhente informasjon om deres bakgrunn, behov eller framgang"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I23"	"4.A.1.a.1.I23.D09"	"Interview witnesses, suspects, or claimants."	"Intervjuer vitner, mistenkte eller anmeldere"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I01"	"4.A.1.a.2.I01.D01"	"Monitor broadcasting operations to ensure proper functioning."	"Fører tilsyn med kringkastingsdrift for å sikre at alt fungerer som det skal"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I01"	"4.A.1.a.2.I01.D02"	"Monitor medical equipment to ensure proper functioning."	"Fører tilsyn med medisinsk utstyr for å sikre at det fungerer som det skal"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I01"	"4.A.1.a.2.I01.D03"	"Monitor engine operation or functioning."	"Fører tilsyn med motordrift eller motorfunksjon"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I01"	"4.A.1.a.2.I01.D04"	"Monitor lubrication of equipment or workpieces."	"Fører tilsyn med smøring av utstyr eller arbeidsstykker"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I01"	"4.A.1.a.2.I01.D05"	"Monitor equipment operation to ensure proper functioning."	"Fører tilsyn med drift av utstyr for å sikre at det fungerer som det skal"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I01"	"4.A.1.a.2.I01.D06"	"Observe equipment in operation to detect potential problems."	"Observerer utstyr i drift for å oppdage potensielle problemer"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I01"	"4.A.1.a.2.I01.D07"	"Watch operating equipment to detect malfunctions."	"Ser på operasjonsutstyr for å oppdage feil"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I01"	"4.A.1.a.2.I01.D08"	"Monitor green energy equipment, systems, or facilities."	"Fører tilsyn med utstyr, systemer eller anlegg for fornybar energi"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I01"	"4.A.1.a.2.I01.D09"	"Assess equipment functioning."	"Vurderer hvorvidt utstyr fungerer"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I01"	"4.A.1.a.2.I01.D10"	"Monitor equipment operation to ensure that products are not flawed."	"Fører tilsyn med drift av utstyr for å forhindre feil på produkter"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I01"	"4.A.1.a.2.I01.D11"	"Monitor instruments to ensure proper production conditions."	"Fører tilsyn med instrumenter for å sikre korrekte produksjonsforhold"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I01"	"4.A.1.a.2.I01.D12"	"Monitor video displays of medical equipment to ensure proper functioning."	"Fører tilsyn med videoskjermer på medisinsk utstyr for å sikre at det fungerer som det skal"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I01"	"4.A.1.a.2.I01.D13"	"Monitor equipment gauges or displays to ensure proper operation."	"Overvåker målere eller skjermer på utstyr for å sikre at det fungerer som det skal"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I01"	"4.A.1.a.2.I01.D14"	"Monitor equipment fluid levels."	"Overvåker væskenivået i utstyr"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I02"	"4.A.1.a.2.I02.D01"	"Monitor industrial energy consumption or management."	"Fører tilsyn med energiforbruk eller energistyring i industrien"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I02"	"4.A.1.a.2.I02.D02"	"Monitor facilities or operational systems."	"Fører tilsyn med anlegg eller driftssystemer"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I02"	"4.A.1.a.2.I02.D03"	"Monitor operational quality or safety."	"Fører tilsyn med driftskvalitet eller -sikkerhet"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I02"	"4.A.1.a.2.I02.D04"	"Monitor extraction operations."	"Fører tilsyn med utvinningsdrift"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I02"	"4.A.1.a.2.I02.D05"	"Monitor organizational procedures to ensure proper functioning."	"Fører tilsyn med virksomhetens prosedyrer for å sikre at de fungerer som de skal"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I02"	"4.A.1.a.2.I02.D06"	"Monitor construction operations."	"Fører tilsyn med anleggsdrift"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I02"	"4.A.1.a.2.I02.D07"	"Monitor vehicle movement or location."	"Fører tilsyn med kjøretøys bevegelser eller posisjon"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I02"	"4.A.1.a.2.I02.D08"	"Monitor recreational facility operations."	"Fører tilsyn med driften av fritidstilbud"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I02"	"4.A.1.a.2.I02.D09"	"Inspect operational processes."	"Inspiserer driftsprosesser"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I02"	"4.A.1.a.2.I02.D10"	"Track goods or materials."	"Sporer gods eller materialer"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I02"	"4.A.1.a.2.I02.D11"	"Monitor food services operations to ensure procedures are followed."	"Fører tilsyn med drift av mattjenester for å sikre at retningslinjer blir fulgt"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I02"	"4.A.1.a.2.I02.D12"	"Monitor loading processes to ensure they are performed properly."	"Fører tilsyn med lasteprosesser for å sikre at de utføres korrekt"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I02"	"4.A.1.a.2.I02.D13"	"Monitor biofuel production operations."	"Fører tilsyn med driften i biodrivstoffproduksjon"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I02"	"4.A.1.a.2.I02.D14"	"Inspect cargo to ensure it is properly loaded or secured."	"Inspiserer last for å sikre at den er skikkelig lastet eller sikret"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I02"	"4.A.1.a.2.I02.D15"	"Monitor the productivity or efficiency of industrial operations."	"Fører tilsyn med hvor produktiv eller effektiv industrivirksomhet er"	"2017-05-26"
"4.A.1.a.2"	"4.A.1.a.2.I02"	"4.A.1.a.2.I02.D16"	"Monitor operational procedures in technical environments to ensure conformance to standards."	"Fører tilsyn med arbeidsprosedyrer i tekniske miljøer for å sikre at de er i henhold til standarder"	"2017-05-26"
